,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
5292,tt1817191,La vie d'une autre,2012,97,"Comedy,Drama,Mystery",6.3,2497,FR,"Juliette Binoche,Aure Atika,Marie-Christine Adam,François Berléand,Vernon Dobtcheff,Mathieu Kassovitz,Danièle Lebrun,Nicolas Carpentier,Albert Spiner,Yvi Dachary-Le Béon"
5294,tt1821362,Case départ,2011,94,Comedy,5.8,3193,FR,"Etienne Chicot,Eriq Ebouaney,Catherine Hosmalin,Franck de la Personne,Joséphine de Meaux,Fabrice Eboué,Thomas Ngijol,David Salles,Stéfi Celma,Franck Migeon"
5297,tt1821694,RED 2,2013,116,"Action,Comedy,Crime",6.6,180793,"CA', 'FR', 'US","Anthony Hopkins,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,David Thewlis,Catherine Zeta-Jones,Lee Byung-hun,Neal McDonough"
5298,tt18235146,Club Zero,2023,110,"Comedy,Drama,Thriller",5.9,1594,"AT', 'FR', 'DE', 'TR', 'GB","Sidse Babett Knudsen,Luke Barker,Samuel D Anderson,Ksenia Devriendt,Andrei Hozoc,Sade McNichols-Thomas,Mia Wasikowska,Amir El-Masry,Gwen Currant,Florence Baker"
5300,tt18240922,La plus belle pour aller danser,2023,91,"Comedy,Drama",5.8,99,"BE', 'FR', 'LU","Pierre Richard,Guy Marchand,Patrick Paroux,Firmine Richard,Olivier Saladin,Loup Pinard,Philippe Katerine,Brune Moulin,Brune Moulin,Olivier Barthélémy,Alice Belaïdi"
5301,tt1825889,"Moi, Michel G., milliardaire, maître du monde",2011,87,Comedy,5.7,327,FR,"Guy Bedos,Laurent Benaïm,Patrick Bouchitey,Xavier de Guillebon,Alain Doutey,Laurent Lafitte,Cécile Vangrieken,François-Xavier Demaison,Julien Arnaud,Laurence Arné"
5305,tt1828995,La délicatesse,2011,108,"Comedy,Drama,Romance",6.6,13919,FR,"Mélanie Bernier,Monique Chaumette,Marc Citti,Vittoria Scognamiglio,Audrey Tautou,Bruno Todeschini,François Damiens,Joséphine de Meaux,Alexandre Pavloff,Pio Marmaï"
5308,tt18298524,Les complices,2023,98,"Comedy,Crime",5.7,600,"BE', 'FR","Vanessa Paradis,Bruno Podalydès,François Damiens,Mathieu Lardot,Jean-François Cayrey,Emilie Cazenave,Benjamin Gomez,William Lebghil,Alicia Hava,Laura Felpin"
5315,tt1838603,Mr. Morgan's Last Love,2013,111,"Comedy,Drama,Romance",6.7,13259,"BE', 'DE', 'US', 'FR","Gillian Anderson,Michael Caine,Jane Alexander,Michelle Goddet,Dieter Rupp,Christelle Cornil,Alix Poisson,Yohan Guignard,Serge Hollogne,Fred Fuchs"
5316,tt1838625,Pourquoi tu pleures?,2011,99,Comedy,5.3,233,FR,"Sarah Adler,Emmanuelle Devos,Valérie Donzelli,Nicole Garcia,Éric Lartigau,Hana Laslo,Rodolphe Dana,Nadir Legrand,Benjamin Biolay,Jean-Noël Cnokaert"
5318,tt1841713,Let My People Go!,2011,96,"Comedy,Romance",5.9,709,FR,"Jean-Luc Bideau,Amira Casar,Aurore Clément,Carmen Maura,Clément Sibony,Jean-François Stévenin,Kari Väänänen,Charlie Dupont,Jarkko Niemi,Nicolas Maury"
5321,tt1846487,Reality,2012,116,"Comedy,Drama",6.8,5779,"FR', 'IT","Claudia Gerini,Paola Minaccioni,Nando Paone,Nunzia Schiano,Raffaele Ferrante,Loredana Simioli,Giuseppina Cervizzi,Aniello Arena,Rosaria D'Urso,Nello Iorio"
5324,tt1846612,La cerise sur le gâteau,2012,83,"Comedy,Romance",5.5,396,"FR', 'IT","Isabelle Carré,Georges Claisse,Pascal Elbé,Ennio Fantastichini,Samir Guesmi,Vanessa Larré,Laura Morante,Frédéric Pierrot,Patrice Thibaud,Loucilia Clément"
5328,tt1850394,Les seigneurs,2012,97,"Comedy,Sport",5.4,3893,FR,"Clémentine Baert,Ramzy Bedia,Franck Dubosc,Gad Elmaleh,José Garcia,Jean-Pierre Marielle,JoeyStarr,Frédérique Bel,Omar Sy,Sami Ameziane"
